"","Feature","Coeff","abs_Coeff","scaled","abs_scaled"
"53","POLR3G",0.110415113137865,0.110415113137865,0.163172547485866,0.163172547485866
"54","MED16",-0.1104089642808,0.1104089642808,-0.163163460644011,0.163163460644011
"55","ABI3",0.105210314702174,0.105210314702174,0.15548084482156,0.15548084482156
"56","PFKP",-0.103050909909458,0.103050909909458,-0.152289655037235,0.152289655037235
"57","YBX3",-0.100249240234271,0.100249240234271,-0.148149319850118,0.148149319850118
"58","ADRBK2",-0.0998960761572053,0.0998960761572053,-0.147627410480127,0.147627410480127
"59","OST4",-0.0990108212615295,0.0990108212615295,-0.146319172029822,0.146319172029822
"60","ACSL1",-0.096357312689058,0.096357312689058,-0.142397790787336,0.142397790787336
"61","DYSF",-0.0934900047880283,0.0934900047880283,-0.138160454780143,0.138160454780143
"62","RBX1",-0.0923016042318525,0.0923016042318525,-0.136404224671111,0.136404224671111
"63","CASP1",0.091325149667739,0.091325149667739,0.134961210447763,0.134961210447763
"64","MAGOHB",0.087820654999905,0.087820654999905,0.129782233527392,0.129782233527392
"65","SLC25A39",-0.0856703824654074,0.0856703824654074,-0.126604539484687,0.126604539484687
"66","LCP1",0.0834136283392691,0.0834136283392691,0.123269485891512,0.123269485891512
"67","ITGB3BP",0.0832526276511659,0.0832526276511659,0.123031557480462,0.123031557480462
"68","PIP5K1C",-0.0817456099475239,0.0817456099475239,-0.120804471796073,0.120804471796073
"69","TRAC",0.0806560354829626,0.0806560354829626,0.11919428786377,0.11919428786377
"70","PPDPF",-0.0790611612975654,0.0790611612975654,-0.116837367000719,0.116837367000719
"71","SMPD4P1",-0.0750120908033434,0.0750120908033434,-0.110853610531919,0.110853610531919
"72","GSN",-0.0727689474729393,0.0727689474729393,-0.107538671107449,0.107538671107449
"73","PF4V1",0.0722641767470881,0.0722641767470881,0.106792715930728,0.106792715930728
"74","CCT4",0.0713577281390041,0.0713577281390041,0.105453157202374,0.105453157202374
"75","ACADVL",-0.0704833230280684,0.0704833230280684,-0.104160952671388,0.104160952671388
"76","LEF1",0.0643963192129857,0.0643963192129857,0.0951655181621367,0.0951655181621367
"77","WARS",0.0634290028426147,0.0634290028426147,0.0937360084519838,0.0937360084519838
"78","S100A8",-0.0616408174308395,0.0616408174308395,-0.0910934103444937,0.0910934103444937
"79","`RP11-930O11.2`",-0.061602842770346,0.061602842770346,-0.091037291015205,0.091037291015205
"80","ME1",0.0544206117120743,0.0544206117120743,0.0804233188414229,0.0804233188414229
"81","CD151",-0.0511813288813111,0.0511813288813111,-0.0756362745999078,0.0756362745999078
